record_id,original_filename,public_repository_path,transformation,original_sha256,public_sha256,pages
unb-hooligan-radical-rick-figure,title-card.png,collections/unboxing/records/unb-hooligan-radical-rick-figure/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,db3829cb7df493f419895bd64421301157c665cf5d0bd88bc8d58775ff83d796,5a63db039ac8f7fe8ba5d0b16e9d126d9250c8486e97d0eabcc9c9873077ea82,
unb-torker-cathy-hanna-bob-haro,title-card.png,collections/unboxing/records/unb-torker-cathy-hanna-bob-haro/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,f24326ac640ad69b59956c3276e82c5207f7455792dd3399026605373464a16c,f9fab3d52bb63a842a3292609ff7af4af071cdd02c80078b87823749b02a28d1,
unb-harry-leary-legacy-linda,title-card.png,collections/unboxing/records/unb-harry-leary-legacy-linda/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,8a6b2505c81a0ea605aef9e98449d98a152d696a94c91f0b11951dded7169d75,ab222139d335b5f3ea5e6d1db851bad6dab2d065bb53d8d0bd29b13a764f7a62,
unb-dirtwerx-pr12-justin-dumas,title-card.png,collections/unboxing/records/unb-dirtwerx-pr12-justin-dumas/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,99052afa43c7784834ed9516dd2eb4dc136d5bbdfed18cc3679384856eb2e882,bb5514bd2e48b8b5c7c699ef709394b73b73dad37d2df234de5cd9d1abbebe12,
unb-possible-early-radical-rick-art,title-card.png,collections/unboxing/records/unb-possible-early-radical-rick-art/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,ff04b4ff1c4993f88fffd7aa3c8fb70e269a449e711760ef97dc9e694dd205de,809090f1e139e9791981489f95832d2b0ec016cfbd4719b91d86d3dd78bb4254,
unb-pages-intended-for-turbo,title-card.png,collections/unboxing/records/unb-pages-intended-for-turbo/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,fd7bb2d72a64744808c6d7a54b2c9ec0485300c18c7cb66c943efa07f4c6d8c3,0ec1d140bd021d94c4a8f34feee390628fd6e3f635807203dd92181985acb857,
unb-reynolds-racing,title-card.png,collections/unboxing/records/unb-reynolds-racing/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,c770eb8bd6345438376b3e8add567e3b8504f66fbdfa6ad69d5e71a1d4d4ab73,c5378bf2c67d320b5809df9d89a3bad33e8f801f685b892f6fd7b2a39016da29,
unb-bill-allen-rad-mail-call,title-card.png,collections/unboxing/records/unb-bill-allen-rad-mail-call/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,60794620379acdc3fba917f17dc6b428e1f28606b64ac7962a41e0078f486a70,2b3b9ab4edb81a07d23d6374ea8ff4326a44fe7a0589b0968564a3abf3b2a058,
unb-radical-rick-sticker-pack,title-card.png,collections/unboxing/records/unb-radical-rick-sticker-pack/assets/navigation-thumbnail.png,repository_navigation_derivative_v1.1.0,dddd322a3c8321df4103499abb578991438b0be1609d48369ae7f9ab212e28d0,e23aadb23d2fd6e67809fea29798e795f289b24ef153ed46d77a444f2ec0f922,
ptc-brandon-hetrick-coleman-warwick-update,2026-07-21_17-53-22.png,collections/pump-track-chat/records/ptc-brandon-hetrick-coleman-warwick-update/source/publication/2026-07-21_17-53-22.png,copy,2d15246440e6ed33df2bbfebee96072d28824fee7a8ee75034c68ec03549be5c,2d15246440e6ed33df2bbfebee96072d28824fee7a8ee75034c68ec03549be5c,
ptc-brandon-hetrick-coleman-warwick-update,2026-07-21_17-53-22.png,collections/pump-track-chat/records/ptc-brandon-hetrick-coleman-warwick-update/assets/title-card.png,exact_crop_and_black_16x9_letterbox,2d15246440e6ed33df2bbfebee96072d28824fee7a8ee75034c68ec03549be5c,0f4fb4818e414b77e7f2719b23629ee8904f000212ac00b2428b7229d47144f0,
ptc-brandon-hetrick-coleman-warwick-update,Pasted text(26).txt,collections/pump-track-chat/records/ptc-brandon-hetrick-coleman-warwick-update/source/original-machine-transcript-untimed.txt,copy,2967cee99ca4024048cd46931a5d59ebd2f068413686d1bd4e85e7784cac4645,2967cee99ca4024048cd46931a5d59ebd2f068413686d1bd4e85e7784cac4645,
