Image ID,Original Supplied Filename,Stable Archive Filename,Role,Width px,Height px,SHA-256,Notes
IMG-1984-001,2026-07-19_19-09-12.png,source-images/source-001-1984-bmx-action-spread.png,Supporting source image,2048,1367,7da846aace1f5059e6d2fa39c3090983fb8e950e05b5a50ae46fe3041fb88961,"Supplied complete two-page BMX Action 1984 retrospective spread, printed pages 50–51, December 1986."
IMG-1984-002,unnamed (86).png,source-images/source-002-1984-quiz.png,Standalone quiz image,845,1080,1e44c3bf0292f1e650b198467c6a634657c6c9900bf399df8a0991c9b557ee8f,Published 1984 quiz image.
IMG-1984-003,2026-07-19_19-08-30.png,page-captures/page-001-1984-learning-resource.png,Live-page capture,931,1620,4f03db621a71e506379fe24aac82161c21f592827f500c1d4a3b6b71fc89785c,"Google Sites page showing the quiz, supporting article pages, and navigation to 1983 and 1985."
