archive_path,original_upload_filename,sha256,bytes,width,height,associated_record,source_group
source/google-sites/chapter-05-page-capture.png,2026-07-22_23-12-01.png,103634b092ffb762aea09e884dab24a7b698e4fe5e82138684784718793c4d4c,392762,936,1255,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-06-page-capture-part-1.png,2026-07-22_23-14-20.png,2a9014c35b84feb5563ab95294dfd83f555d13cc823917531e2b23d00ed4bad2,401097,932,994,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-06-page-capture-part-2.png,2026-07-22_23-14-45.png,016ef1846c3b6aecb71025608962e892a07d72d1e9061b58ccb455c912ddc9ae,490066,935,1381,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-07-page-capture-part-1.png,2026-07-22_23-17-02.png,42c11e94cfe7e3e6a53d0e735bdcdd156f0d4b4b00bd9b1a94ad662c496971e0,523985,931,1242,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-07-page-capture-part-2.png,2026-07-22_23-17-34.png,d8cd2c3c5a6d33d391fbbe4812dc2147ce0d21e7ca8ec50f2eb78710fbc6ac3d,212755,919,728,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-08-page-capture.png,2026-07-22_23-24-26.png,728e34d8fcfe5adf8befa88bd1048fa209c75e7df954402121123006b1c06327,574091,922,1574,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-09-page-capture-part-1.png,2026-07-22_23-25-06.png,4c3ae9fdf1a2352bc23707141951d76e634cd4b59b30ad26b2a57254a502e487,419427,922,895,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-09-page-capture-part-2.png,2026-07-22_23-25-28.png,1a713873afca89ab1d3d662f3d54192759d180c22b5f922ab277bb773b748614,417209,926,1094,HUFFY-CAMPAIGN,google-sites
source/google-sites/chapter-10-page-capture.png,2026-07-22_23-27-25.png,ef7767a24bd3e3c9589aa22131798a299cf70e892084c651a2a82e552a30b2b1,391147,914,1142,HUFFY-CAMPAIGN,google-sites
source/photographs/completed-bike-fire-hydrant.png,unnamed (92).png,2ddd33a11f30f25461f301344d1d1fc9af0c0e5ba9bb2d1965a666b1d73ea740,1756483,1080,622,HUFFY-CAMPAIGN,photographs
source/sugar-cayne/article-page-01-header-and-introduction.png,2026-07-22_23-29-47.png,4ba6a64561aa0700d454495d2132a86f16dc0fccead7056d8d8fe25f916f552c,1311857,914,1427,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/article-page-02-lititz-statement.png,2026-07-22_23-30-13.png,5f9c40f85e4252ce0ab58192ec62abaa191c363265d42e987d2a7a77c226f65d,715238,824,1236,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/article-page-03-parts-and-gallery.png,2026-07-22_23-30-34.png,e4992d4044fb62d0b6fca58f38c0f3b58d7b756b0cd7ab8ec88f239098f03e23,1580527,842,1407,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/article-page-04-rating-system-and-comments.png,2026-07-22_23-31-15.png,36e9b4cad88e319c8c3b94042d38c6a9a61c9cccc6d036202cde3ba098bd6bc3,494837,928,1327,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/article-page-05-public-reviews.png,2026-07-22_23-31-35.png,72e52345987b2288c5fb4b280b544cc67a848f3557b76c557c33de93fa4e11d0,312728,904,1458,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/article-page-06-sugar-cayne-rating.png,2026-07-22_23-31-57.png,83976546fddf9b9a1e0b87cc1b03d9c167fcadfe7c3f0189c7f4482c5b3fc548,81575,617,563,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
source/sugar-cayne/facebook-share-2026-05-06.png,2026-07-22_23-41-27.png,bdfd1130c56374d761e509ba9699da37f3c2b711ddc2b1357977cc4eb32f26c8,709671,1053,846,HUFFY-AFTERWORD-SUGARCAYNE,sugar-cayne
