Image ID,Original Supplied Filename,Stable Archive Filename,Role,Width px,Height px,SHA-256,Notes
IMG-1978-001,2026-07-19_17-45-50.png,source-images/source-001-1978-bmx-action-spread.png,Supporting source image,1787,1197,542a9884876e83d6cabede99342a0d21b0ea5ace0a4b71665be1444070a06a8c,"Two-page BMX Action retrospective spread; December 1986, pp. 32–33."
IMG-1978-002,unnamed (79).png,source-images/source-002-1978-quiz.png,Standalone quiz image,864,1080,bd6017ced6501674e9cb9a5df0e79d78bd19c9b92cc7c08f945d9bc608b37ab1,Published 1978 quiz image.
IMG-1978-003,2026-07-19_17-45-18.png,page-captures/page-001-1978-learning-resource.png,Live-page capture,913,1499,37f47e2a8c897e0e3b070300173937d0716ca98868b12ae8eae633135fae4020,"Google Sites page showing quiz, source article images, and navigation."
