filename,variant,width_px,height_px,format,color_mode,transparent_background,spokes_and_hub,keystone,effects,status,sha256
Lititz-BMX-Logo-Black-Tire-Black-Lettering.png,Black tire / Black lettering,446,532,PNG,RGBA,Yes,Black,Solid white,None,Approved,a2c2b873ded262cc4d448d042ea88b74b5cc96957705d5b6a8f6815329d94506
Lititz-BMX-Logo-Black-Tire-White-Lettering.png,Black tire / White lettering,446,532,PNG,RGBA,Yes,Black,Solid white,None,Approved,069808b39b94ba33a72b3fdd2f4303ce7b236a7c5ee25ea78671590d51eb766d
Lititz-BMX-Logo-White-Tire-Black-Lettering.png,White tire / Black lettering,446,532,PNG,RGBA,Yes,Black,Solid white,None,Approved,2f9d08c093cfab737beb86a277c967e06214b3ab7235086d310466db3459ea17
Lititz-BMX-Logo-White-Tire-White-Lettering.png,White tire / White lettering,446,532,PNG,RGBA,Yes,Black,Solid white,None,Approved,d685e1e971c9c37af2b914fe1f291f6c94986282a0ab47b0f18ba3f5c3188775
