Image ID,Original Supplied Filename,Stable Archive Filename,Role,Width px,Height px,SHA-256,Notes
IMG-1980-001,2026-07-19_18-02-57.png,source-images/source-001-1980-bmx-action-spread.png,Supporting source image,2048,1311,97c8fb1539abd8a86ee5c3e53ee5cb8b77852662c541721d9b2f05d12f023da3,"Two-page BMX Action retrospective spread; December 1986, pp. 36–37."
IMG-1980-002,unnamed (81).png,source-images/source-002-1980-quiz.png,Standalone quiz image,859,1080,098ae739147f52e85ee02488d3617d2fcbd97350965626cbcedc8a7bac55a0f1,Published 1980 quiz image.
IMG-1980-003,2026-07-19_18-02-27.png,page-captures/page-001-1980-learning-resource.png,Live-page capture,945,1500,9947981c27c0a6ed0c2307047cf9e9a92c7f1a8d36eab430e0a0a313d4b46c4f,"Google Sites page showing the quiz, supporting article pages, and navigation."
